,size,beta,momentum,residual_volatility,non_linear_size,book_to_price_ratio,liquidity,earnings_yield,growth,leverage
20190102,0.9987606704494393,0.9987129233443173,0.9977844975716164,0.9953247836754675,0.9987544650946308,1.0027090935396499,0.9993201829410645,0.9984166179545916,0.9998012818462845,1.00075801366625
20190103,0.9981986564112065,1.0050670373336201,0.9989654761986079,0.9989874952243907,0.9999224257944344,1.0059726822846395,0.9972549123441969,0.9968352328274941,0.9995940053470658,1.0007932611604426
20190104,0.9965493595093754,1.0085420434443289,0.998399973687741,1.0022337230758365,1.0008132154121998,1.006929553559591,0.994731668454908,0.9958780303731594,0.9992345749174667,1.0011142077262263
20190107,0.9959223128020523,1.009536798543961,0.9993606131873142,1.0048805825197202,1.0004623414095497,1.0091176075130175,0.9929209535745315,0.996401293468759,0.9985044409499736,1.0005607787529789
20190108,0.9965822897518735,1.0103288322610724,0.9995263587533226,1.007916496557448,0.9992744953482697,1.0101870547977354,0.9913990791331749,0.9979050814206301,0.9983188636879178,1.000164898516392
20190109,0.9955838082258515,1.010691814354981,0.9985805246171413,1.0056084302030572,0.9984155904492752,1.0101246381510087,0.9914686091924422,0.9989083609849119,0.9980560064517577,1.0012229788531537
20190110,0.9949231767447841,1.0114645721907385,0.996829077669204,1.0033909215709476,0.9986792196053749,1.0108729179077647,0.9935515728711977,0.998203583593307,0.997803925536938,1.0019032811115935
20190111,0.9940409462156473,1.0109195541762181,0.997657850488337,1.0035890860733356,0.9997334897455411,1.0115272240412267,0.9924948131709579,0.9980859824009067,0.997182437639828,1.003789178358589
20190114,0.9961957087327998,1.0153366427272923,0.9974638229583147,1.0025355016214619,0.9984498010741846,1.0106946790242057,0.9919616706923643,0.9984429130217745,0.9970794619525785,1.0023897234763053
20190115,0.9961049607573484,1.0146183251523362,0.9988029021882662,1.0023158096850808,0.9983378336950358,1.0088904094811046,0.991679578021213,0.9991652456991448,0.997386008886502,1.003015678301834
20190116,0.9981313271836016,1.0133539387986041,0.998865912813229,1.0036837578602937,0.9990126564482814,1.0098688114753698,0.9913635909056676,0.9993406414468813,0.9962123039418517,1.003973579453112
20190117,1.001725114496698,1.0155958405519616,0.9980821108462796,0.999363404033008,0.998452779578574,1.0087434532728392,0.99191740541419,1.000782044713438,0.9973227809599552,1.003598857818436
20190118,1.0020353808660756,1.0168339223859668,0.998170217383475,0.9999138704367816,0.9983347566317096,1.0081073276481523,0.9913347945030282,1.0016411629099014,0.9977267129565048,1.002942188501835
20190121,0.9991601500526837,1.014307612746548,1.000238001987283,1.000487778982506,0.997970764679431,1.007910329041859,0.9918873652504862,1.0020673743800401,0.9969417371307717,1.0029554996238823
20190122,0.9990350789169742,1.0161656005563164,1.0024140704785651,0.9997211549040377,0.9986263441782472,1.0076265339539552,0.9919779972875078,1.0019329789319358,0.9967039739429653,1.0025843231477867
20190123,0.9984720449058189,1.0182621428617644,1.003167653541511,0.9972567314503983,0.9986760285407784,1.0076381515768107,0.9916218860179932,1.0018160679986503,0.9968908955881116,1.0022291528055542
20190124,1.0041071997578501,1.0195733648669894,1.0045319854829697,0.9932908174446192,0.9992397178544615,1.0047885706352382,0.9894317015784838,1.0037605121938633,0.9974765681382697,1.0016739985960332
20190125,1.0072759590326053,1.0199559374744056,1.0076420802005335,0.9901632413836063,0.9989367943572215,1.0033024947633575,0.987544874615925,1.0038288153333563,0.9980660183874924,1.0016324357680433
20190128,1.0142806743184811,1.0200166298648314,1.0119253479319203,0.9870737256582048,0.9992263097363916,1.0010516068632103,0.9851874247203192,1.0056365957560267,0.9987653256484934,1.0030022851936957
20190129,1.0168643069560126,1.0200664296729849,1.0138845714738673,0.9830239562243611,0.9995344763319123,1.000820427460247,0.9842408580110924,1.0076278117796977,0.9993452190786225,1.0021981744301645
20190130,1.0250511504146722,1.0212547970296155,1.017399353836864,0.9748512050309539,0.9999027117238675,0.9985156087159632,0.9838500577826569,1.009718099838864,0.998539409687696,1.0013389068862568
20190131,1.0242515229322815,1.025120252330691,1.0141157160834038,0.9781195673650239,1.001006322159739,0.9982531389055891,0.9842162578562343,1.008631254072259,0.9985637334412574,1.0003260859490437
20190201,1.0233783755159682,1.0293703116537152,1.013410578828193,0.9832729556279125,1.002154675392372,0.9984177893484321,0.9842830573257259,1.0092964562720348,0.9985965519726161,1.0004973872145417
20190211,1.0211243663594842,1.0301842844865527,1.0103331831426072,0.9881263256315029,1.0011467590674032,1.0000921063048165,0.9834147551799765,1.009944546590851,0.9977713838772851,1.0017803049364993
20190212,1.0225515187044312,1.0331780274055746,1.0077914121169642,0.9869653670810405,0.9996578017240054,1.0021726187461364,0.9846389244672803,1.0088281878809529,0.9985846769226446,1.0008275366793773
20190213,1.022422321674259,1.0344634326515674,1.0070598877996153,0.9913850814904054,0.9997275992199706,1.0023841724921152,0.9844622592586768,1.0085269549195244,0.9988296258427524,1.0004984391561516
20190214,1.0180729643603958,1.0329702744392262,1.004045807964499,0.9944108262339083,1.0004046149735895,1.0035942606478505,0.9837308372831882,1.0073306955408687,0.998654385547267,1.001323131607065
20190215,1.0188834504705513,1.0385861752237433,1.0027672860924257,0.9980433154419718,1.0008951742607535,1.0045152428971447,0.9831109420212161,1.0084663670711496,0.9982019875761152,1.0007702281327726
20190218,1.016747868982181,1.0380589950915888,0.9991300521460104,1.0045901793269885,1.0012984279073447,1.0068848766652598,0.9818667696315296,1.0078466085839763,0.9975139036727941,1.0001882859316695
